"UN";"Название";"№ АК";"Тип АК";"Размер группы";"Индивидуальный профиль";"Статус";"Замечания"
"1218";"ИЗОПРЕН СТАБИЛИЗИРОВАННЫЙ";"304";"групповая";"15";"нет";"READY";""
"1219";"ИЗОПРОПАНОЛ (СПИРТ ИЗОПРОПИЛОВЫЙ)";"307";"групповая";"20";"нет";"READY";""
"1220";"Изопропилацетат";"306";"групповая";"53";"нет";"READY";""
"1221";"Изопропиламин";"303";"групповая";"4";"нет";"READY";""
"1222";"ИЗОПРОПИЛНИТРАТ (н)";"310";"групповая";"14";"нет";"READY";""
"1223";"Керосин";"305";"групповая";"36";"нет";"READY";""
"1224";"3,3-Диметил-2-бутанон";"331";"групповая";"6";"нет";"READY";""
"1224";"КЕТОНЫ ЖИДКИЕ, Н.У.К.";"331";"групповая";"6";"нет";"READY";""
"1224";"КЕТОНЫ ЖИДКИЕ, Н.У.К. (давление паров при 50 °C более 110 кПа)";"331";"групповая";"6";"нет";"READY";""
"1224";"КЕТОНЫ ЖИДКИЕ, Н.У.К. (давление паров при 50 °C не более 110 кПа)";"331";"групповая";"6";"нет";"READY";""
"1228";"МЕРКАПТАНЫ ЖИДКИЕ ЛЕГКОВОСПЛАМЕНЯЮЩИЕСЯ ЯДОВИТЫЕ, Н.У.К., или МЕРКАПТАНОВ СМЕСЬ ЖИДКАЯ ЛЕГКОВОСПЛАМЕНЯЮЩАЯСЯ ЯДОВИТАЯ, Н.У.К.";"332";"групповая";"2";"нет";"READY";""
"1229";"мезитилоксид";"316";"групповая";"55";"нет";"READY";""
"1230";"Метанол";"319";"групповая";"3";"нет";"READY";""
"1231";"МЕТИЛАЦЕТАТ (р)";"306";"групповая";"53";"нет";"READY";""
"1233";"Метиламилацетат";"316";"групповая";"55";"нет";"READY";""
"1234";"Метилаль";"305";"групповая";"36";"нет";"READY";""
"1235";"Метиламина водный раствор";"303";"групповая";"4";"нет";"READY";""
"1237";"Метилбутират";"306";"групповая";"53";"нет";"READY";""
"1238";"Метилхлорформиат *";"611";"групповая";"19";"нет";"READY";""
"1239";"Эфир метилхлорметиловый";"647";"групповая";"14";"нет";"READY";""
"1242";"Метилдихлорсилан";"431";"групповая";"4";"нет";"READY";""
"1243";"МЕТИЛФОРМИАТ (р)";"301";"групповая";"15";"нет";"READY";""
"1244";"Метилгидразин";"648";"групповая";"5";"нет";"READY";""
"1245";"Метилизобутилкетон";"307";"групповая";"20";"нет";"READY";""
"1246";"Метилизопропенилкетон стабилизированный";"307";"групповая";"20";"нет";"READY";""
"1247";"Метилметакрилат, мономер стабилизированный";"306";"групповая";"53";"нет";"READY";""
"1248";"МЕТИЛПРОПИОНАТ (р)";"306";"групповая";"53";"нет";"READY";""
"1249";"Метилпропилкетон";"307";"групповая";"20";"нет";"READY";""
"1250";"Метилтрихлорсилан";"321";"групповая";"6";"нет";"READY";""
"1251";"Метилвинилкетон стабилизированный";"650";"групповая";"5";"нет";"READY";""
"1259";"Никеля карбонил";"647";"групповая";"14";"нет";"READY";""
"1261";"Нитрометан";"310";"групповая";"14";"нет";"READY";""
"1262";"Октаны";"305";"групповая";"36";"нет";"READY";""
"1263";"Бензин-растворитель для лакокрасочной промышленности";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (давление паров при 50 °C более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C более 110 кПа, температура кипения более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (имеющие температуру вспышки ниже 23 °C и вязкие) (давление паров при 50 °C не более 110 кПа)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (имеющие температуру вспышки ниже 23 °C и вязкие) (температура кипения не более 35 °C)";"305";"групповая";"36";"нет";"READY";""
"1263";"КРАСКА (включая краску, лак, эмаль, краситель, шеллак, олифу, политуру, жидкий наполнитель и жидкую лаковую основу) или МАТЕРИАЛ ЛАКОКРАСОЧНЫЙ (включая разбавитель или растворитель краски) (невязкие)";"305";"групповая";"36";"нет";"READY";""
"1263";"Кремнеорганические смолы в растворе органических растворителей";"305";"групповая";"36";"нет";"READY";""
"1263";"Крепители для лаков (и краски)";"305";"групповая";"36";"нет";"READY";""
"1263";"Лак КО-0208";"305";"групповая";"36";"нет";"READY";""
"1263";"Лаки бакелитовые";"305";"групповая";"36";"нет";"READY";""
"1263";"Лаки кремнеорганические (КО)";"305";"групповая";"36";"нет";"READY";""
"1263";"Метильный лак";"305";"групповая";"36";"нет";"READY";""
"1263";"Нитрокраски, нитролаки, нитроэмали";"305";"групповая";"36";"нет";"READY";""
"1263";"Олифа";"305";"групповая";"36";"нет";"READY";""
"1263";"Сиккативы, жидкие, легковоспламеняющиеся";"305";"групповая";"36";"нет";"READY";""
"1263";"Смола полифенилизобутоксисилоксановая, раствор в ксилоле или толуоле";"305";"групповая";"36";"нет";"READY";""
"1263";"Сольвент-нафта";"305";"групповая";"36";"нет";"READY";""
"1264";"ПАРАЛЬДЕГИД (т)";"316";"групповая";"55";"нет";"READY";""
"1265";"ПЕНТАНЫ жидкие";"301";"групповая";"15";"нет";"READY";""
"1266";"Жидкость парфюмерная ""Канская""";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1266";"ПРОДУКТЫ ПАРФЮМЕРНЫЕ, содержащие легковоспламеняющиеся растворители (давление паров при 50 °C более 110 кПа)";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
"1266";"ПРОДУКТЫ ПАРФЮМЕРНЫЕ, содержащие легковоспламеняющиеся растворители (давление паров при 50 °C не более 110 кПа)";"308";"групповая";"5";"нет";"READY_WITH_SOURCE_GAPS";"В официальной АК отсутствует раздел: actions | В официальной АК отсутствует раздел: consequenceControl | В официальной АК отсутствует раздел: firstAid"
